"","gene","distance","Z","FC","p.value","p.adj"
"784","Gm27030",4.72391386353763e-18,-1.2010991444122,2.54332308875704e-19,0.999999999597616,0.999999999998216
"1682","Gm10516",4.71720389184914e-18,-1.20130725105853,2.53610301397135e-19,0.999999999598187,0.999999999998216
"737","4930461G14Rik",4.71419878389777e-18,-1.20140054772878,2.53287278015747e-19,0.999999999598443,0.999999999998216
"598","Gm26719",4.70748772090513e-18,-1.20160911146784,2.5256663935294e-19,0.999999999599015,0.999999999998216
"1043","Wscd2",4.70254993739684e-18,-1.20176275322283,2.52037072248157e-19,0.999999999599436,0.999999999998216
"1038","Sgca",4.69494743621046e-18,-1.20199962035232,2.51222806243673e-19,0.999999999600083,0.999999999998216
"1066","Ctrl",4.66461793890596e-18,-1.202948359504,2.4798747696405e-19,0.999999999602667,0.999999999998216
"1041","Zfp72",4.66460600944158e-18,-1.20294873386574,2.47986208541199e-19,0.999999999602668,0.999999999998216
"80","1700001L05Rik",4.65912526176855e-18,-1.20312082661296,2.47403800785399e-19,0.999999999603135,0.999999999998216
"1622","Glra1",4.65298304921229e-18,-1.20331392638044,2.46751916586865e-19,0.999999999603658,0.999999999998216
"1855","Dgkh",4.6463371074302e-18,-1.20352314575896,2.46047539327815e-19,0.999999999604224,0.999999999998216
"191","Ecel1",4.64361382639025e-18,-1.20360896198705,2.45759200269038e-19,0.999999999604456,0.999999999998216
"736","Fst",4.64101913936118e-18,-1.20369077212673,2.45484633916264e-19,0.999999999604677,0.999999999998216
"1345","Ryr2",4.63978990436593e-18,-1.20372954548844,2.45354611465843e-19,0.999999999604782,0.999999999998216
"476","Clec4g",4.63367450588918e-18,-1.20392259218298,2.44708266509609e-19,0.999999999605303,0.999999999998216
"718","Tmem30b",4.61822266493051e-18,-1.2044114867526,2.43078938136186e-19,0.999999999606619,0.999999999998216
"536","Nkain3",4.61695743571595e-18,-1.2044515898783,2.42945766365437e-19,0.999999999606726,0.999999999998216
"161","Gm43569",4.61008074114198e-18,-1.20466974554962,2.42222597621793e-19,0.999999999607312,0.999999999998216
"1615","Epb41l4b",4.59410390885326e-18,-1.2051778344394,2.40546599248083e-19,0.999999999608673,0.999999999998216
"238","Gm4275",4.59394391208046e-18,-1.20518293139927,2.40529844725254e-19,0.999999999608687,0.999999999998216
"51","Gm28836",4.57779181450189e-18,-1.20569838580952,2.38841434179939e-19,0.999999999610063,0.999999999998216
"1107","Gm15512",4.56605992185214e-18,-1.20607390577281,2.37618804737938e-19,0.999999999611062,0.999999999998216
"1314","4930568A12Rik",4.56506517052314e-18,-1.20610578998216,2.3751528184154e-19,0.999999999611147,0.999999999998216
"1548","Dnm3os",4.55271373136491e-18,-1.2065022553707,2.36231757190628e-19,0.999999999612199,0.999999999998216
"419","Pkd2l1",4.54523826881162e-18,-1.20674272364589,2.35456618695697e-19,0.999999999612835,0.999999999998216
"903","Cyp2e1",4.5371111130463e-18,-1.20700459820524,2.34615350672123e-19,0.999999999613528,0.999999999998216
"627","Klhl30",4.51938673318289e-18,-1.2075773240383,2.32785865343213e-19,0.999999999615038,0.999999999998216
"1155","Epha1",4.5155440143972e-18,-1.20770178546038,2.32390169921533e-19,0.999999999615365,0.999999999998216
"1445","Tex11",4.50241669181661e-18,-1.20812775410754,2.31040952035422e-19,0.999999999616483,0.999999999998216
"1039","Kif24",4.49726639824312e-18,-1.20829521059693,2.30512681004594e-19,0.999999999616922,0.999999999998216
"1680","WDR97",4.49106802283329e-18,-1.20849699528553,2.29877708832768e-19,0.99999999961745,0.999999999998216
"944","H19",4.48876478977103e-18,-1.20857204574802,2.29641984871363e-19,0.999999999617646,0.999999999998216
"703","Ermap",4.47519789780144e-18,-1.20901489265339,2.28255937732289e-19,0.999999999618802,0.999999999998216
"1851","P2rx1",4.47289048562684e-18,-1.20909034228076,2.28020620875504e-19,0.999999999618998,0.999999999998216
"382","0610025J13Rik",4.46297613683069e-18,-1.20941496697007,2.27010906672161e-19,0.999999999619843,0.999999999998216
"47","Dlk2",4.45771106940485e-18,-1.20958764981069,2.26475603468344e-19,0.999999999620291,0.999999999998216
"215","A930006L05Rik",4.45708565510703e-18,-1.20960817541018,2.26412059132594e-19,0.999999999620344,0.999999999998216
"16","Uba1y",4.4418660061404e-18,-1.21010854955913,2.24868436714211e-19,0.999999999621641,0.999999999998216
"603","Slc1a6",4.43920289043558e-18,-1.21019627816508,2.24598878314931e-19,0.999999999621868,0.999999999998216
"2429","Sh2d5",4.43787208791022e-18,-1.21024013703253,2.24464236146245e-19,0.999999999621981,0.999999999998216
"1925","Map3k19",4.43686135914124e-18,-1.2102734559887,2.24362003985696e-19,0.999999999622067,0.999999999998216
"2317","Gm26767",4.41396493879696e-18,-1.21103025469119,2.22052338944911e-19,0.999999999624017,0.999999999998216
"1610","Phf24",4.398630329031e-18,-1.21153927914306,2.20512149483961e-19,0.999999999625324,0.999999999998216
"1564","Zfp114",4.39016274262616e-18,-1.21182110665118,2.19663972525803e-19,0.999999999626045,0.999999999998216
"219","Mecomos",4.38599541431939e-18,-1.21196000510213,2.19247141774659e-19,0.9999999996264,0.999999999998216
"451","3110099E03Rik",4.37436256353642e-18,-1.21234842161269,2.18085678172576e-19,0.999999999627391,0.999999999998216
