"","gene","distance","Z","FC","p.value","p.adj"
"2660","Zfp335",2.09081991032438e-13,-0.414471590378458,9.45799503751771e-07,0.999224039643437,0.999999999237769
"780","Ssbp4",2.06257654856464e-13,-0.416787138916813,9.20419855151941e-07,0.999234521522906,0.999999999237769
"1266","Taf5",2.06196461159853e-13,-0.416837637354998,9.19873785352366e-07,0.999234748629354,0.999999999237769
"1754","G6pc3",2.04279683505501e-13,-0.418426564601967,9.02851201272739e-07,0.999241862312467,0.999999999237769
"1517","A530054K11Rik",2.03748178461044e-13,-0.418869636166749,8.98159146880768e-07,0.999243834872232,0.999999999237769
"530","Ctla2b",2.0338971975836e-13,-0.419169065906086,8.95001624143437e-07,0.999245165209965,0.999999999237769
"645","Frmd4a",2.03122978468643e-13,-0.419392203115777,8.92655612352871e-07,0.999246155159436,0.999999999237769
"1966","Kif3a",2.03035269649316e-13,-0.419465634259593,8.91884878615816e-07,0.999246480670718,0.999999999237769
"183","Mia1",2.02941962546257e-13,-0.4195437850399,8.91065315864186e-07,0.999246826958755,0.999999999237769
"665","3110056K07Rik",2.01412258002219e-13,-0.420829840726606,8.7768287401613e-07,0.999252504108374,0.999999999237769
"2698","Arl1",2.01163826728955e-13,-0.421039566532117,8.75519059327452e-07,0.999253426104402,0.999999999237769
"1006","Fhod1",2.01147288740039e-13,-0.421053536533414,8.75375109696447e-07,0.999253487481377,0.999999999237769
"1386","Large",1.99982106017341e-13,-0.422040513807303,8.65262939929158e-07,0.999257811791402,0.999999999237769
"227","Tpcn2",1.99902455912445e-13,-0.422108178862345,8.64573832681508e-07,0.999258107394608,0.999999999237769
"1250","Kctd21",1.99843833939948e-13,-0.422157996070719,8.64066829485988e-07,0.999258324956695,0.999999999237769
"2924","A730017L22Rik",1.97974827711616e-13,-0.423753513721411,8.47980323377639e-07,0.999265261347247,0.999999999237769
"2385","Tppp",1.97877469079383e-13,-0.423837012641492,8.47146501164388e-07,0.999265622671618,0.999999999237769
"2043","Tmppe",1.97477074114082e-13,-0.424180814050262,8.43721654207812e-07,0.999267108646264,0.999999999237769
"461","Snx22",1.97194959066829e-13,-0.424423446586468,8.41312700627223e-07,0.999268155651957,0.999999999237769
"34","Gm12250",1.97092098693614e-13,-0.424511992465107,8.40435242410445e-07,0.999268537394787,0.999999999237769
"2773","Slc25a32",1.97082405452492e-13,-0.424520338987443,8.40352577086185e-07,0.999268573369042,0.999999999237769
"800","Fbxo44",1.96783711270232e-13,-0.424777723373041,8.37807263986802e-07,0.999269681904418,0.999999999237769
"2013","Pcgf3",1.96277167092718e-13,-0.425215050627225,8.33499588532038e-07,0.999271561827678,0.999999999237769
"282","Ptgfrn",1.96205167735829e-13,-0.425277297512252,8.32888203841858e-07,0.999271829036881,0.999999999237769
"992","Acap3",1.95732482047067e-13,-0.425686489711088,8.28879949559089e-07,0.999273583302082,0.999999999237769
